
CID;Total;30 a 39;40 a 49;50 a 59;60 a 69;70 a 79;80 ou mais;
C00 - LABIO;973;41;95;165;197;269;206;
C01 - BASE DA LINGUA;6408;168;1213;2174;1673;889;291;
C02 - OUTRAS PARTES DA LINGUA;14429;421;2624;4637;3845;2073;829;
C03 - GENGIVA;695;28;89;179;173;150;76;
C04 - ASSOALHO DA BOCA;2897;102;534;997;746;377;141;
C05 - PALATO;3195;75;459;944;876;573;268;
C06 - OUTRAS PARTES DA BOCA;13925;392;2237;4128;3704;2208;1256;
C07 - GLANDULA PAROTIDA;2705;84;275;602;744;587;413;
C08 - OUTRAS GLANDULAS SALIVARES MAIORES;756;37;95;210;183;150;81;
C09 - AMIGDALA;3095;94;602;1009;878;406;106;
C10 - OROFARINGE;24125;601;4184;7942;6528;3485;1385;
C11 - NASOFARINGE;2934;218;550;842;719;438;167;
C12 - SEIO PIRIFORME;1357;21;205;455;403;213;60;
C13 - HIPOFARINGE;7648;128;1200;2543;2336;1128;313;
C14 - LOCALIZACOES MAL DEFINIDAS DA FARINGE;15914;351;2228;4477;4529;2960;1369;
C15 - ESOFAGO;116490;1895;14407;32021;34544;23419;10204;
C16 - ESTOMAGO;202722;5366;17860;38885;58412;55034;27165;
C17 - INTESTINO DELGADO;4928;207;531;955;1281;1248;706;
C18 - COLON;64789;2329;5480;10937;17019;18465;10559;
C19 - JUNCAO RETOSSIGMOIDE;5397;177;457;956;1398;1531;878;
C20 - RETO;30260;1458;2923;5571;7961;7921;4426;
C21 - ANUS E CANAL ANAL;1409;100;190;320;356;275;168;
C22 - FIGADO E VIAS BILIARES INTRA-HEPATICAS;76478;2515;7398;16177;21985;19224;9179;
C23 - VESICULA BILIAR;4861;118;365;828;1352;1425;773;
C24 - OUTRAS PARTES DAS VIAS BILIARES;14346;313;1054;2424;3898;4174;2483;
C25 - PANCREAS;64539;1440;5585;12760;18578;17531;8645;
C26 - LOCALIZACOES MAL DEFINIDAS NO APARELHO DIGESTIVO;27420;913;2248;4637;6932;7849;4841;
C30 - CAVIDADE NASAL E OUVIDO MEDIO;686;40;74;140;153;149;130;
C31 - SEIOS DA FACE;1651;115;245;401;408;321;161;
C32 - LARINGE;64858;920;8102;18763;19642;12558;4873;
C33 - TRAQUEIA;1219;24;139;333;354;245;124;
C34 - BRONQUIOS E PULMOES;276959;3701;18610;55156;90351;78646;30495;
C37 - TIMO;278;45;55;65;68;34;11;
C38 - CORACAO, MEDIASTINO E PLEURA;6294;486;705;1331;1651;1498;623;
C39 - LOCALIZACOES MAL DEFINIDA DO APARELHO RESPIRATORIO;1109;32;111;241;322;268;135;
C40 - OSSOS E ARTICULACOES DOS MEMBROS;1381;152;205;263;313;283;165;
C41 - OSSOS E ARTICULACOES DE OUTRAS LOCALIZACOES;12423;955;1562;2827;3180;2648;1251;
C43 - MELANOMA MALIGNO DA PELE;14573;1328;2288;3185;3299;2868;1605;
C44 - OUTRAS NEOPLASIAS MALIGNAS DA PELE;14585;527;1357;2410;3024;3547;3720;
C45 - MESOTELIOMA;660;40;85;157;153;155;70;
C46 - SARCOMA DE KAPOSI;274;26;49;52;45;48;54;
C47 - NERVOS PERIFERICOS E DO S.N.A.;230;33;46;52;48;42;9;
C48 - RETROPERITONIO E PERITONIO;7823;502;983;1629;2123;1776;810;
C49 - TECIDO CONJUNTIVO E OUTROS TECIDOS MOLES;7304;966;1198;1578;1674;1239;649;
C50 - MAMA;2001;72;214;380;514;480;341;
C60 - PENIS;6156;488;987;1204;1325;1228;924;
C61 - PROSTATA;210075;220;1456;10583;41000;79708;77108;
C62 - TESTICULOS;2331;1017;494;249;227;196;148;
C63 - OUTROS ORGAOS GENITAIS MASCULINOS, SOE;805;48;76;110;169;237;165;
C64 - RIM;23181;718;2247;5200;6732;5692;2592;
C65 - PELVE RENAL;375;15;37;75;98;90;60;
C66 - URETERES;327;2;12;53;70;117;73;
C67 - BEXIGA;40536;297;1300;4247;9880;14111;10701;
C68 - OUTROS ORGAOS URINARIOS, SOE;1424;27;77;182;328;464;346;
C69 - OLHO E ANEXOS;1330;84;139;207;296;331;273;
C70 - MENINGES;505;52;59;111;119;115;49;
C71 - ENCEFALO;48888;5401;8361;11639;12164;8421;2902;
C72 - MEDULA ESPINHAL E OUTRAS PARTES S.N.C.;4292;458;690;1036;1047;784;277;
C73 - GLANDULA TIREOIDE;3892;139;397;785;1095;991;485;
C74 - GLANDULA SUPRA-RENAL;1383;133;209;335;355;263;88;
C75 - OUTRAS GLANDULAS ENDOCRINAS;1684;167;256;351;453;330;127;
C76 - OUTRAS LOCALIZACOES MAL DEFINIDAS;29356;1155;3732;6810;7503;6143;4013;
C80 - LOCALIZACAO PRIMARIA DESCONHECIDA;100120;3410;9446;19708;27152;25636;14768;
C81 - DOENCA DE HODGKIN;5540;1165;1037;1121;1061;828;328;
C82 - LINFOMA NAO-HODGKIN, FOLICULAR;659;47;92;129;160;159;72;
C83 - LINFOMA NAO-HODGKIN DIFUSO;2672;353;415;525;577;567;235;
C84 - LINFOMAS DE CELULAS T CUTANEAS E PERIFERICAS;954;83;154;201;233;208;75;
C85 - LINFOMA NAO-HODGKIN DE OUTROS TIPOS, SOE;30158;2742;4113;6027;7536;6713;3027;
C88 - DOENCAS IMUNOPROLIFERATIVAS MALIGNAS;199;7;18;35;53;52;34;
C90 - MIELOMA MULTIPLO E NEOPLASIA MALIGNA DE PLASMOCITO;18390;337;1566;4046;5695;4761;1985;
C91 - LEUCEMIA LINFOIDE;10910;1258;1226;1603;2375;2634;1814;
C92 - LEUCEMIA MIELOIDE;22594;3295;3458;4050;4632;4700;2459;
C93 - LEUCEMIA MONOCITICA;285;21;40;28;75;69;52;
C94 - OUTRA LEUCEMIAS DE CELULAS DE TIPO ESPECIFICO;270;18;23;47;69;87;26;
C95 - LEUCEMIA DE TIPO CELULAR, SOE;11311;1101;1245;1675;2365;2902;2023;
C96 - OUTRAS NEOPLASIAS DE TECIDO LINFATICO E CORRELATOS;1178;109;144;262;295;243;125;
C97 - NEOPLASIAS MALIGNAS PRIMARIAS MULTIPLAS;2231;40;173;367;595;621;435;
D46 - SINDROME MIELODISPLASICA;3065;60;103;244;559;1072;1027;
TOTAL DAS NEOPLASIAS MALIGNAS;1716079;54023;154898;329983;464865;451280;261030;
