

CID;Total;30 a 39;40 a 49;50 a 59;60 a 69;70 a 79;80 ou mais;
C00 - LABIO;313;9;13;28;52;85;126;
C01 - BASE DA LINGUA;1073;34;130;219;241;252;197;
C02 - OUTRAS PARTES DA LINGUA;3592;126;370;679;811;857;749;
C03 - GENGIVA;346;11;34;54;77;82;88;
C04 - ASSOALHO DA BOCA;583;12;62;119;140;128;122;
C05 - PALATO;1235;31;81;156;252;359;356;
C06 - OUTRAS PARTES DA BOCA;4760;110;322;680;988;1205;1455;
C07 - GLANDULA PAROTIDA;1531;64;164;227;296;348;432;
C08 - OUTRAS GLANDULAS SALIVARES MAIORES;505;26;63;108;114;107;87;
C09 - AMIGDALA;572;17;65;146;157;116;71;
C10 - OROFARINGE;4326;126;496;924;989;1002;789;
C11 - NASOFARINGE;1224;143;223;259;235;218;146;
C12 - SEIO PIRIFORME;137;6;18;41;35;27;10;
C13 - HIPOFARINGE;893;38;123;231;240;144;117;
C14 - LOCALIZACOES MAL DEFINIDAS DA FARINGE;3233;100;310;623;788;770;642;
C15 - ESOFAGO;34391;498;2575;6448;9271;9121;6478;
C16 - ESTOMAGO;104796;4640;9611;15688;24058;28586;22213;
C17 - INTESTINO DELGADO;4623;174;395;833;1021;1252;948;
C18 - COLON;75929;2701;6635;11522;16846;20706;17519;
C19 - JUNCAO RETOSSIGMOIDE;5881;258;584;1001;1292;1519;1227;
C20 - RETO;30588;1534;3118;5411;6979;7611;5935;
C21 - ANUS E CANAL ANAL;2720;89;284;536;687;664;460;
C22 - FIGADO E VIAS BILIARES INTRA-HEPATICAS;62672;1906;5438;10719;15861;17195;11553;
C23 - VESICULA BILIAR;17039;266;1235;3079;4880;4809;2770;
C24 - OUTRAS PARTES DAS VIAS BILIARES;24727;422;1578;4128;6440;7134;5025;
C25 - PANCREAS;61830;982;3797;9331;15712;18467;13541;
C26 - LOCALIZACOES MAL DEFINIDAS NO APARELHO DIGESTIVO;30120;1026;2296;4205;6473;8327;7793;
C30 - CAVIDADE NASAL E OUVIDO MEDIO;448;25;49;68;97;100;109;
C31 - SEIOS DA FACE;1229;84;166;236;277;258;208;
C32 - LARINGE;8922;193;896;1981;2434;2125;1293;
C33 - TRAQUEIA;426;16;51;85;121;99;54;
C34 - BRONQUIOS E PULMOES;129706;3067;12079;26428;36055;33381;18696;
C37 - TIMO;284;39;56;64;59;43;23;
C38 - CORACAO, MEDIASTINO E PLEURA;4420;288;517;781;1040;1027;767;
C39 - LOCALIZACOES MAL DEFINIDA DO APARELHO RESPIRATORIO;541;14;69;106;126;135;91;
C40 - OSSOS E ARTICULACOES DOS MEMBROS;1234;119;159;221;281;254;200;
C41 - OSSOS E ARTICULACOES DE OUTRAS LOCALIZACOES;9035;692;1111;1737;2113;1993;1389;
C43 - MELANOMA MALIGNO DA PELE;10986;1065;1701;2044;2102;2145;1929;
C44 - OUTRAS NEOPLASIAS MALIGNAS DA PELE;10110;329;607;970;1509;2220;4475;
C45 - MESOTELIOMA;457;28;57;84;110;122;56;
C46 - SARCOMA DE KAPOSI;176;13;23;26;21;42;51;
C47 - NERVOS PERIFERICOS E DO S.N.A.;215;36;48;41;45;33;12;
C48 - RETROPERITONIO E PERITONIO;10850;551;1211;2159;2759;2681;1489;
C49 - TECIDO CONJUNTIVO E OUTROS TECIDOS MOLES;6748;758;1070;1436;1402;1214;868;
C50 - MAMA;231932;17639;44216;57695;49706;37387;25289;
C51 - VULVA;6144;172;364;742;1305;1858;1703;
C52 - VAGINA;1601;67;161;268;329;390;386;
C53 - COLO DO UTERO;102395;12593;23534;24678;20182;13942;7466;
C54 - CORPO DO UTERO;17936;314;1083;3000;5538;5218;2783;
C55 - UTERO, SOE;57574;4170;9595;12347;12900;11255;7307;
C56 - OVARIO;52015;2887;7535;12126;13394;10589;5484;
C57 - OUTROS ORGAOS GENITAIS FEMININOS, SOE;5960;357;788;1163;1351;1281;1020;
C58 - PLACENTA;226;134;62;13;8;7;2;
C64 - RIM;14656;613;1386;2819;3753;3641;2444;
C65 - PELVE RENAL;281;14;18;49;70;77;53;
C66 - URETERES;201;4;11;27;39;64;56;
C67 - BEXIGA;16786;224;770;2021;3394;5090;5287;
C68 - OUTROS ORGAOS URINARIOS, SOE;928;30;87;133;233;246;199;
C69 - OLHO E ANEXOS;1206;60;118;191;197;263;377;
C70 - MENINGES;884;64;117;181;221;162;139;
C71 - ENCEFALO;43178;4196;6733;9344;10384;8443;4078;
C72 - MEDULA ESPINHAL E OUTRAS PARTES S.N.C.;3508;334;491;780;879;664;360;
C73 - GLANDULA TIREOIDE;8234;190;557;1332;2113;2361;1681;
C74 - GLANDULA SUPRA-RENAL;1308;183;243;287;270;210;115;
C75 - OUTRAS GLANDULAS ENDOCRINAS;1549;216;282;312;358;249;132;
C76 - OUTRAS LOCALIZACOES MAL DEFINIDAS;26785;1047;2407;4099;5763;6769;6700;
C80 - LOCALIZACAO PRIMARIA DESCONHECIDA;96253;4391;10416;17781;23074;23302;17289;
C81 - DOENCA DE HODGKIN;3735;725;553;621;754;684;398;
C82 - LINFOMA NAO-HODGKIN, FOLICULAR;602;38;56;114;163;139;92;
C83 - LINFOMA NAO-HODGKIN DIFUSO;2191;228;277;386;495;487;318;
C84 - LINFOMAS DE CELULAS T CUTANEAS E PERIFERICAS;693;76;111;133;148;142;83;
C85 - LINFOMA NAO-HODGKIN DE OUTROS TIPOS, SOE;24385;1674;2525;3985;5986;6271;3944;
C88 - DOENCAS IMUNOPROLIFERATIVAS MALIGNAS;213;4;11;35;46;68;49;
C90 - MIELOMA MULTIPLO E NEOPLASIA MALIGNA DE PLASMOCITO;18145;253;1313;3472;5515;5084;2508;
C91 - LEUCEMIA LINFOIDE;8622;910;874;1238;1749;2074;1777;
C92 - LEUCEMIA MIELOIDE;21618;3047;3448;3889;4347;4200;2687;
C93 - LEUCEMIA MONOCITICA;269;24;31;47;54;66;47;
C94 - OUTRA LEUCEMIAS DE CELULAS DE TIPO ESPECIFICO;205;24;16;31;53;52;29;
C95 - LEUCEMIA DE TIPO CELULAR, SOE;10153;940;1161;1380;1981;2509;2182;
C96 - OUTRAS NEOPLASIAS DE TECIDO LINFATICO E CORRELATOS;948;58;140;181;222;205;142;
C97 - NEOPLASIAS MALIGNAS PRIMARIAS MULTIPLAS;1702;87;206;334;391;386;298;
D46 - SINDROME MIELODISPLASICA;2885;76;124;234;438;894;1119;
TOTAL DAS NEOPLASIAS MALIGNAS;1463332;80729;181710;283330;343289;335692;238582;
